 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> March 24, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zirconium in Zirconium

 Ion = Zirconium [40] , Mass = 89.9 amu

 Target Density =  6.4900E+00 g/cm3 = 4.2845E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   4.793E+02  4.724E+01    2.31 um     4351 A      4491 A   
  10.00 MeV   5.233E+02  4.397E+01    2.48 um     4479 A      4702 A   
  11.00 MeV   5.651E+02  4.118E+01    2.64 um     4588 A      4887 A   
  12.00 MeV   6.048E+02  3.876E+01    2.80 um     4682 A      5051 A   
  13.00 MeV   6.422E+02  3.665E+01    2.94 um     4764 A      5197 A   
  14.00 MeV   6.774E+02  3.477E+01    3.08 um     4835 A      5329 A   
  15.00 MeV   7.105E+02  3.310E+01    3.21 um     4899 A      5449 A   
  16.00 MeV   7.416E+02  3.160E+01    3.34 um     4957 A      5559 A   
  17.00 MeV   7.709E+02  3.025E+01    3.46 um     5009 A      5660 A   
  18.00 MeV   7.984E+02  2.902E+01    3.58 um     5056 A      5753 A   
  20.00 MeV   8.489E+02  2.686E+01    3.81 um     5144 A      5921 A   
  22.50 MeV   9.045E+02  2.462E+01    4.08 um     5240 A      6103 A   
  25.00 MeV   9.532E+02  2.276E+01    4.34 um     5322 A      6261 A   
  27.50 MeV   9.965E+02  2.119E+01    4.58 um     5393 A      6401 A   
  30.00 MeV   1.035E+03  1.984E+01    4.82 um     5456 A      6527 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  1.5409E-02                keV / (ug/cm2) 
  1.5409E-02                MeV / (mg/cm2) 
  1.5409E+01                keV / (mg/cm2) 
  2.3340E+00                 eV / (1E15 atoms/cm2)
  1.6799E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
